iter	Passed	Remaining
999	6471	0
0	7500	68
991	7503	60
992	7506	52
993	7509	45
994	7512	37
995	7515	30
996	7518	22
997	7520	15
998	7523	7
999	7526	0
	16
998	8021	8
999	8025	0
259
980	12723	246
981	12738	233
982	12741	220
983	12758	207
984	12767	194
985	12779	181
986	12795	168
987	12807	155
988	12819	142
989	12832	129
990	12843	116
991	12852	103
992	12867	90
993	12877	77
994	12889	64
995	12897	51
996	12908	38
997	12920	25
998	12930	12
999	12940	0
3006	0
